TL,Morph,Sex
85,OB,F
336,OB,F
366,OB,F
307,OB,F
264,OB,F
347,OB,F
328,OB,F
291,OB,F
330,OB,F
332,OB,F
345,OB,F
223,OB,F
136,OB,F
311,OB,F
335,OB,F
327,OB,F
294,OB,F
326,OB,F
327,OB,F
355,OB,F
317,OB,F
315,OB,F
269,OB,F
289,OB,F
346,OB,F
318,OB,F
330,OB,F
326,OB,F
324,OB,F
337,OB,F
350,OB,F
304,OB,F
329,OB,F
330,OB,F
323,OB,F
304,OB,F
308,OB,F
307,OB,F
327,OB,F
212,OB,F
327,OB,F
336,OB,F
298,OB,F
335,OB,F
381,OB,F
323,OB,F
345,OB,F
315,OB,F
293,OB,F
290,OB,F
327,OB,F
339,OB,F
322,OB,F
308,OB,F
325,OB,F
320,OB,F
320,OB,F
331,OB,F
332,OB,F
367,OB,F
322,OB,F
300,HYB,F
313,OB,F
328,OB,F
303,HYB,F
349,OB,F
323,HYB,F
303,OB,F
258,OB,F
309,OB,F
296,OB,F
334,HYB,F
318,HYB,F
328,HYB,F
312,HYB,F
323,OB,F
336,OB,F
325,HYB,F
320,OB,F
306,OB,F
325,HYB,F
282,OB,F
313,OB,F
338,HYB,F
314,OB,F
329,OB,F
283,OB,F
301,OB,F
283,OB,F
377,OB,F
360,OB,F
338,OB,F
345,OB,F
336,OB,F
353,OB,F
310,HYB,F
338,HYB,F
336,HYB,F
335,OB,F
325,OB,F
330,OB,F
331,HYB,F
328,OB,F
335,OB,F
326,HYB,F
300,OB,F
326,OB,F
324,OB,F
329,OB,F
347,HYB,F
313,HYB,F
399,OB,F
334,OB,F
338,OB,F
324,OB,F
282,OB,F
334,OB,F
345,HYB,F
322,HYB,F
343,OB,F
332,OB,F
323,HYB,F
318,OB,F
330,OB,F
295,OB,F
303,OB,F
270,OB,F
108,OB,F
116,OB,F
301,OB,F
259,OB,F
274,HYB,F
317,OB,F
311,OB,F
383,OB,F
324,HYB,F
303,HYB,F
330,OB,F
323,HYB,F
319,OB,F
275,OB,F
327,OB,F
350,HYB,F
331,HYB,F
342,OB,F
269,HYB,F
362,HYB,F
303,HYB,F
272,HYB,F
280,OB,F
248,OB,F
271,OB,F
420,OB,F
316,OB,F
347,OB,F
344,OB,F
281,HYB,F
319,HYB,F
283,OB,F
270,OB,F
337,HYB,F
352,OB,F
352,HYB,F
366,OB,F
335,OB,F
321,HYB,F
349,HYB,F
333,OB,F
327,HYB,F
356,OB,F
254,OB,F
103,OB,F
330,HYB,F
310,HYB,F
320,OB,F
339,OB,F
310,OB,F
329,OB,F
311,HYB,F
340,OB,F
317,OB,F
355,OB,F
350,OB,F
312,HYB,F
306,OB,F
335,OB,F
330,HYB,F
272,OB,F
275,HYB,F
323,OB,F
330,HYB,F
305,OB,F
254,HYB,F
329,HYB,F
315,OB,F
330,OB,F
312,OB,F
310,HYB,F
276,HYB,F
291,HYB,F
332,OB,F
294,HYB,F
320,OB,F
320,OB,F
92,OB,F
150,OB,F
362,HYB,F
302,HYB,F
305,HYB,F
253,HYB,F
276,HYB,F
353,OB,F
341,OB,F
312,HYB,F
312,HYB,F
270,OB,F
381,OB,F
321,OB,F
214,HYB,F
345,OB,F
246,OB,F
322,OB,F
269,OB,F
246,OB,F
315,OB,F
260,OB,F
327,OB,F
266,OB,F
373,HYB,F
338,HYB,F
282,HYB,F
269,OB,F
331,OB,F
377,OB,F
357,OB,F
336,OB,F
262,HYB,F
350,OB,F
273,HYB,F
173,HYB,F
301,HYB,F
308,OB,F
