TL,Morph,Sex
290,OB,M
294,OB,M
259,OB,M
259,OB,M
254,OB,M
285,OB,M
307,OB,M
248,OB,M
274,OB,M
290,OB,M
272,OB,M
296,OB,M
332,OB,M
237,OB,M
292,OB,M
300,OB,M
312,OB,M
262,OB,M
277,OB,M
289,OB,M
267,OB,M
276,OB,M
267,HYB,M
255,OB,M
295,OB,M
258,OB,M
322,HYB,M
272,OB,M
329,HYB,M
321,HYB,M
319,OB,M
275,HYB,M
290,HYB,M
277,HYB,M
309,OB,M
273,OB,M
265,HYB,M
295,OB,M
305,OB,M
299,OB,M
254,OB,M
290,OB,M
310,OB,M
286,OB,M
320,OB,M
275,OB,M
257,OB,M
267,OB,M
270,HYB,M
283,OB,M
272,OB,M
299,OB,M
307,OB,M
302,HYB,M
295,OB,M
292,HYB,M
266,HYB,M
290,OB,M
270,HYB,M
256,OB,M
286,OB,M
285,OB,M
285,OB,M
295,OB,M
304,HYB,M
271,HYB,M
292,OB,M
298,OB,M
281,OB,M
280,HYB,M
322,OB,M
311,OB,M
266,OB,M
281,HYB,M
287,HYB,M
270,OB,M
281,OB,M
309,OB,M
278,HYB,M
288,HYB,M
313,OB,M
275,HYB,M
280,HYB,M
269,HYB,M
298,OB,M
258,HYB,M
298,HYB,M
321,HYB,M
266,HYB,M
283,HYB,M
287,HYB,M
325,HYB,M
294,HYB,M
273,HYB,M
224,HYB,M
313,OB,M
107,OB,M
299,HYB,M
293,OB,M
279,OB,M
262,OB,M
265,OB,M
275,HYB,M
281,HYB,M
270,OB,M
295,HYB,M
251,OB,M
282,HYB,M
213,OB,M
265,OB,M
301,HYB,M
280,HYB,M
218,HYB,M
277,HYB,M
292,HYB,M
270,HYB,M
290,HYB,M
294,HYB,M
280,HYB,M
295,HYB,M
273,HYB,M
289,HYB,M
280,OB,M
287,OB,M
262,HYB,M
285,OB,M
280,HYB,M
323,HYB,M
274,HYB,M
317,OB,M
296,HYB,M
322,HYB,M
274,HYB,M
279,HYB,M
311,OB,M
297,OB,M
313,OB,M
315,OB,M
336,HYB,M
310,HYB,M
285,HYB,M
324,HYB,M
313,OB,M
310,HYB,M
300,OB,M
296,HYB,M
304,OB,M
320,HYB,M
290,OB,M
329,OB,M
301,HYB,M
294,OB,M
310,OB,M
332,OB,M
284,OB,M
287,HYB,M
300,HYB,M
293,HYB,M
328,HYB,M
338,OB,M
323,OB,M
291,OB,M
304,HYB,M
321,HYB,M
316,OB,M
315,OB,M
293,OB,M
301,HYB,M
280,HYB,M
275,OB,M
291,OB,M
299,HYB,M
293,OB,M
306,HYB,M
285,HYB,M
303,HYB,M
263,OB,M
285,OB,M
283,OB,M
298,OB,M
293,OB,M
281,OB,M
297,HYB,M
316,OB,M
297,HYB,M
260,HYB,M
280,HYB,M
277,HYB,M
281,HYB,M
286,HYB,M
313,HYB,M
278,OB,M
263,OB,M
298,HYB,M
189,HYB,M
287,OB,M
235,HYB,M
263,HYB,M
307,OB,M
208,OB,M
227,HYB,M
201,HYB,M
323,OB,M
240,HYB,M
100,OB,M
258,OB,M
239,OB,M
258,OB,M
285,HYB,M
267,HYB,M
307,OB,M
310,OB,M
294,OB,M
154,HYB,M
263,HYB,M
320,HYB,M
295,HYB,M
263,HYB,M
282,OB,M
270,OB,M
339,HYB,M
227,HYB,M
275,OB,M
265,HYB,M
231,OB,M
