TL,Morph,Sex
322,PEC,F
399,PEC,F
250,PEC,F
270,PEC,F
260,PEC,F
250,PEC,F
258,PEC,F
245,PEC,F
240,PEC,F
259,PEC,F
255,PEC,F
330,PEC,F
326,PEC,F
248,PEC,F
311,PEC,F
246,PEC,F
250,PEC,F
237,PEC,F
253,PEC,F
301,PEC,F
245,PEC,F
261,PEC,F
295,PEC,F
286,PEC,F
254,PEC,F
264,PEC,F
261,PEC,F
248,PEC,F
264,PEC,F
243,PEC,F
240,PEC,F
250,PEC,F
268,PEC,F
282,PEC,F
231,PEC,F
257,PEC,F
262,PEC,F
340,PEC,F
337,PEC,F
329,PEC,F
341,PEC,F
304,PEC,F
326,PEC,F
296,PEC,F
305,PEC,F
245,PEC,F
242,PEC,F
317,PEC,F
334,PEC,F
274,PEC,F
265,PEC,F
245,PEC,F
271,PEC,F
275,PEC,F
265,PEC,F
327,PEC,F
329,PEC,F
223,PEC,F
245,PEC,F
240,PEC,F
261,PEC,F
249,PEC,F
245,PEC,F
254,PEC,F
240,PEC,F
269,PEC,F
277,PEC,F
323,PEC,F
315,PEC,F
346,PEC,F
295,PEC,F
313,PEC,F
342,PEC,F
302,PEC,F
265,PEC,F
247,PEC,F
265,PEC,F
242,PEC,F
266,PEC,F
320,PEC,F
312,PEC,F
310,PEC,F
260,PEC,F
270,PEC,F
330,PEC,F
335,PEC,F
314,PEC,F
320,PEC,F
247,PEC,F
258,PEC,F
232,PEC,F
263,PEC,F
262,PEC,F
334,PEC,F
326,PEC,F
275,PEC,F
252,PEC,F
326,PEC,F
340,PEC,F
256,PEC,F
274,PEC,F
260,PEC,F
320,PEC,F
260,PEC,F
258,PEC,F
318,PEC,F
290,PEC,F
231,PEC,F
259,PEC,F
262,PEC,F
239,PEC,F
283,PEC,F
246,PEC,F
260,PEC,F
257,PEC,F
255,PEC,F
334,PEC,F
255,PEC,F
281,PEC,F
269,PEC,F
243,PEC,F
269,PEC,F
260,PEC,F
314,PEC,F
272,PEC,F
268,PEC,F
265,PEC,F
266,PEC,F
249,PEC,F
328,PEC,F
217,PEC,F
271,PEC,F
244,PEC,F
257,PEC,F
168,PEC,F
160,PEC,F
264,PEC,F
