TL,Sex
54,I
65,I
54,I
62,I
46,I
55,I
56,I
50,I
52,I
52,I
52,I
47,I
45,I
42,I
54,I
46,I
59,I
100,I
52,I
45,I
51,I
47,I
82,I
45,I
47,I
228,I
203,I
242,I
215,I
213,I
214,I
222,I
166,I
164,I
219,I
218,I
158,I
153,I
168,I
227,I
155,I
225,I
156,I
214,I
264,I
197,I
207,I
118,I
236,I
98,I
265,I
209,I
169,I
170,I
163,I
158,I
163,I
189,I
178,I
189,I
170,I
213,I
165,I
174,I
213,I
143,I
213,I
236,I
63,I
57,I
70,I
98,I
64,I
69,I
49,I
265,I
214,I
172,I
169,I
198,I
201,I
173,I
160,I
170,I
161,I
170,I
174,I
220,I
164,I
210,I
142,I
226,I
158,I
164,I
74,I
217,I
212,I
171,I
221,I
197,I
170,I
229,I
162,I
130,I
232,I
160,I
165,I
167,I
50,I
51,I
150,I
88,I
151,I
193,I
162,I
158,I
164,I
204,I
221,I
167,I
215,I
236,I
175,I
160,I
239,I
162,I
151,I
159,I
163,I
170,I
57,I
58,I
58,I
75,I
140,I
63,I
54,I
94,I
153,I
203,I
160,I
156,I
169,I
160,I
171,I
160,I
161,I
176,I
173,I
162,I
175,I
237,I
228,I
268,I
228,I
283,I
157,I
246,I
157,I
261,I
174,I
261,I
65,I
66,I
68,I
225,I
275,I
257,I
221,I
83,I
52,I
195,I
161,I
209,I
228,I
160,I
162,I
170,I
191,I
210,I
168,I
78,I
55,I
103,I
161,I
141,I
186,I
165,I
197,I
174,I
161,I
232,I
158,I
225,I
242,I
162,I
223,I
211,I
160,I
165,I
165,I
168,I
261,I
161,I
161,I
164,I
173,I
170,I
218,I
171,I
215,I
13,I
13,I
12,I
15,I
11,I
10,I
10,I
10,I
5,I
5,I
6,I
12,I
7,I
6,I
8,I
9,I
12,I
8,I
12,I
9,I
10,I
9,I
7,I
5,I
6,I
8,I
7,I
5,I
6,I
6,I
6,I
7,I
5,I
6,I
8,I
8,I
9,I
10,I
7,I
5,I
5,I
5,I
6,I
10,I
11,I
7,I
8,I
8,I
8,I
13,I
15,I
17,I
13,I
13,I
5,I
5,I
5,I
6,I
5,I
6,I
6,I
6,I
6,I
6,I
6,I
6,I
6,I
7,I
8,I
10,I
7,I
7,I
6,I
8,I
6,I
6,I
5,I
6,I
6,I
6,I
5,I
6,I
6,I
6,I
9,I
7,I
7,I
6,I
6,I
7,I
7,I
7,I
7,I
7,I
8,I
7,I
6,I
6,I
6,I
17,I
6,I
7,I
7,I
6,I
17,I
17,I
16,I
15,I
15,I
14,I
16,I
10,I
12,I
13,I
13,I
10,I
11,I
12,I
12,I
10,I
11,I
11,I
10,I
10,I
16,I
18,I
19,I
12,I
15,I
16,I
15,I
14,I
15,I
14,I
13,I
12,I
12,I
12,I
14,I
14,I
15,I
15,I
14,I
12,I
6,I
6,I
5,I
5,I
6,I
5,I
5,I
6,I
5,I
13,I
8,I
8,I
16,I
16,I
16,I
14,I
16,I
13,I
14,I
13,I
14,I
13,I
15,I
14,I
12,I
8,I
8,I
9,I
7,I
10,I
7,I
7,I
9,I
7,I
7,I
7,I
7,I
5,I
5,I
6,I
5,I
5,I
5,I
8,I
9,I
5,I
8,I
7,I
5,I
6,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
9,I
6,I
14,I
11,I
12,I
6,I
14,I
17,I
15,I
5,I
5,I
5,I
17,I
17,I
16,I
7,I
6,I
6,I
5,I
5,I
5,I
5,I
6,I
6,I
7,I
8,I
9,I
8,I
9,I
10,I
8,I
8,I
9,I
5,I
5,I
6,I
6,I
6,I
6,I
5,I
4,I
6,I
6,I
13,I
5,I
13,I
6,I
6,I
13,I
12,I
10,I
7,I
11,I
11,I
8,I
9,I
6,I
7,I
7,I
7,I
8,I
6,I
17,I
10,I
12,I
10,I
6,I
6,I
22,I
7,I
8,I
6,I
6,I
12,I
8,I
10,I
10,I
6,I
8,I
8,I
6,I
11,I
8,I
7,I
9,I
9,I
8,I
10,I
11,I
7,I
8,I
8,I
9,I
7,I
6,I
8,I
9,I
10,I
9,I
12,I
10,I
8,I
6,I
10,I
7,I
13,I
12,I
12,I
12,I
8,I
8,I
7,I
7,I
6,I
7,I
6,I
8,I
12,I
8,I
10,I
15,I
23,I
8,I
10,I
9,I
14,I
18,I
12,I
4,I
4,I
21,I
7,I
7,I
6,I
17,I
12,I
10,I
13,I
10,I
15,I
6,I
11,I
10,I
12,I
8,I
6,I
12,I
12,I
11,I
9,I
6,I
17,I
7,I
8,I
22,I
12,I
12,I
21,I
4,I
6,I
8,I
8,I
9,I
7,I
10,I
8,I
8,I
9,I
