TL,Sex
251,M
272,M
239,M
248,M
231,M
291,M
281,M
287,M
228,M
269,M
230,M
228,M
255,M
290,M
257,M
250,M
257,M
239,M
250,M
235,M
298,M
246,M
267,M
226,M
210,M
227,M
234,M
222,M
235,M
264,M
244,M
222,M
248,M
254,M
246,M
243,M
234,M
246,M
233,M
265,M
251,M
257,M
237,M
266,M
244,M
262,M
310,M
277,M
316,M
252,M
221,M
251,M
244,M
257,M
313,M
336,M
310,M
231,M
249,M
225,M
300,M
232,M
222,M
234,M
275,M
301,M
232,M
246,M
240,M
254,M
233,M
230,M
239,M
230,M
248,M
284,M
263,M
291,M
240,M
244,M
250,M
257,M
294,M
256,M
256,M
309,M
250,M
286,M
262,M
286,M
217,M
244,M
256,M
241,M
223,M
259,M
223,M
259,M
290,M
277,M
286,M
313,M
296,M
298,M
232,M
228,M
232,M
222,M
259,M
207,M
247,M
254,M
282,M
315,M
312,M
307,M
290,M
312,M
279,M
310,M
275,M
295,M
310,M
303,M
301,M
313,M
310,M
261,M
209,M
285,M
307,M
277,M
248,M
274,M
290,M
290,M
286,M
276,M
239,M
272,M
296,M
332,M
237,M
292,M
300,M
312,M
330,M
262,M
291,M
245,M
277,M
318,M
289,M
267,M
245,M
289,M
245,M
241,M
269,M
276,M
241,M
229,M
267,M
255,M
295,M
258,M
322,M
225,M
272,M
242,M
238,M
329,M
321,M
319,M
275,M
290,M
277,M
309,M
273,M
263,M
265,M
295,M
255,M
305,M
299,M
254,M
290,M
310,M
286,M
320,M
275,M
257,M
267,M
270,M
283,M
272,M
299,M
307,M
302,M
278,M
295,M
292,M
286,M
293,M
233,M
216,M
266,M
290,M
270,M
256,M
286,M
285,M
285,M
295,M
304,M
271,M
292,M
298,M
281,M
280,M
322,M
311,M
271,M
323,M
266,M
281,M
287,M
269,M
270,M
249,M
281,M
309,M
279,M
278,M
288,M
259,M
313,M
275,M
280,M
269,M
298,M
258,M
298,M
321,M
266,M
283,M
287,M
325,M
294,M
157,M
273,M
224,M
313,M
221,M
107,M
299,M
293,M
279,M
262,M
265,M
275,M
281,M
270,M
295,M
221,M
251,M
282,M
213,M
265,M
218,M
214,M
301,M
250,M
261,M
280,M
276,M
218,M
254,M
229,M
247,M
277,M
292,M
270,M
290,M
234,M
294,M
291,M
280,M
258,M
237,M
268,M
268,M
295,M
273,M
289,M
280,M
302,M
287,M
262,M
285,M
280,M
238,M
226,M
263,M
250,M
242,M
237,M
246,M
232,M
323,M
274,M
317,M
245,M
303,M
296,M
322,M
274,M
279,M
227,M
255,M
235,M
253,M
249,M
311,M
231,M
237,M
297,M
260,M
313,M
230,M
315,M
336,M
310,M
285,M
324,M
313,M
238,M
225,M
310,M
228,M
242,M
300,M
296,M
248,M
234,M
304,M
245,M
312,M
247,M
320,M
290,M
234,M
253,M
329,M
301,M
294,M
310,M
332,M
284,M
287,M
300,M
293,M
328,M
338,M
323,M
291,M
304,M
273,M
321,M
316,M
243,M
315,M
293,M
301,M
255,M
280,M
273,M
255,M
266,M
277,M
275,M
303,M
248,M
290,M
262,M
291,M
299,M
262,M
237,M
293,M
238,M
306,M
285,M
303,M
263,M
284,M
262,M
285,M
283,M
298,M
293,M
281,M
297,M
316,M
256,M
297,M
260,M
280,M
277,M
281,M
246,M
249,M
286,M
265,M
250,M
313,M
278,M
255,M
241,M
241,M
242,M
304,M
263,M
298,M
189,M
287,M
235,M
263,M
307,M
208,M
227,M
201,M
323,M
240,M
100,M
258,M
238,M
239,M
258,M
257,M
285,M
267,M
180,M
307,M
310,M
294,M
288,M
154,M
263,M
320,M
280,M
295,M
263,M
282,M
282,M
270,M
339,M
257,M
274,M
227,M
275,M
265,M
238,M
231,M
227,M
