tl,maturity
297,I
324,I
247,I
356,I
266,I
272,I
284,I
252,I
257,I
298,I
297,I
273,I
313,I
263,I
261,I
317,I
263,I
243,I
277,I
250,I
305,I
287,I
250,I
253,I
258,I
247,I
243,I
267,I
330,I
261,I
278,I
264,I
314,I
322,I
302,I
234,I
268,I
238,I
242,I
224,I
333,I
277,I
177,I
246,I
270,I
250,I
299,I
313,I
293,I
246,I
256,I
227,I
294,I
316,I
262,I
302,I
275,I
230,I
260,I
245,I
309,I
230,I
287,I
293,I
320,I
252,I
302,I
311,I
242,I
137,I
115,I
49,I
54,I
65,I
54,I
62,I
46,I
55,I
56,I
50,I
52,I
52,I
52,I
47,I
45,I
42,I
54,I
46,I
59,I
100,I
52,I
45,I
51,I
47,I
82,I
45,I
47,I
49,I
50,I
51,I
54,I
55,I
57,I
57,I
58,I
58,I
246,I
173,I
225,I
267,I
244,I
356,I
236,I
259,I
336,I
251,I
206,I
230,I
295,I
221,I
224,I
319,I
246,I
220,I
237,I
220,I
160,I
229,I
225,I
211,I
218,I
209,I
224,I
245,I
237,I
219,I
223,I
63,I
63,I
64,I
65,I
66,I
69,I
75,I
78,I
83,I
85,I
88,I
361,I
233,I
237,I
223,I
271,I
330,I
226,I
224,I
250,I
227,I
153,I
237,I
253,I
200,I
239,I
238,I
165,I
240,I
257,I
247,I
261,I
249,I
334,I
231,I
199,I
270,I
253,I
258,I
167,I
239,I
230,I
283,I
223,I
238,I
211,I
236,I
265,I
245,I
236,I
231,I
312,I
316,I
271,I
239,I
257,I
231,I
262,I
214,I
220,I
315,I
249,I
233,I
291,I
304,I
221,I
231,I
231,I
240,I
240,I
235,I
313,I
234,I
236,I
341,I
225,I
265,I
344,I
292,I
229,I
279,I
238,I
327,I
228,I
243,I
216,I
94,I
98,I
98,I
103,I
118,I
255,I
250,I
337,I
342,I
302,I
246,I
209,I
257,I
292,I
230,I
228,I
350,I
338,I
219,I
102,I
157,I
49,I
105,I
65,I
140,I
141,I
141,I
142,I
143,I
150,I
151,I
151,I
153,I
153,I
155,I
156,I
156,I
280,I
314,I
207,I
253,I
261,I
246,I
258,I
260,I
262,I
224,I
248,I
231,I
249,I
234,I
254,I
225,I
140,I
157,I
157,I
158,I
158,I
158,I
158,I
159,I
160,I
160,I
160,I
160,I
160,I
160,I
160,I
160,I
262,I
277,I
208,I
