TL,
85,OB
290,OB
336,OB
228,OB
366,OB
222,OB
294,OB
307,OB
264,OB
347,OB
259,OB
49,OB
328,OB
158,OB
153,OB
291,OB
259,OB
155,OB
225,OB
214,OB
254,OB
264,OB
285,OB
307,OB
248,OB
274,OB
290,OB
330,OB
332,OB
345,OB
223,OB
118,HYB
136,OB
98,OB
205,OB
157,OB
272,OB
296,OB
311,OB
332,OB
237,OB
335,OB
160,OB
292,OB
327,OB
294,OB
157,OB
317,OB
218,OB
326,OB
327,OB
355,OB
344,OB
270,OB
317,OB
315,OB
269,OB
300,OB
289,OB
312,OB
346,OB
318,OB
330,OB
345,OB
326,OB
324,OB
334,OB
337,OB
297,OB
321,OB
350,OB
304,OB
329,OB
346,OB
330,OB
323,OB
235,OB
282,OB
272,OB
304,OB
262,OB
308,OB
307,OB
262,OB
335,OB
247,OB
327,OB
212,OB
204,OB
213,OB
327,OB
246,OB
238,OB
341,OB
272,OB
265,OB
277,OB
244,OB
336,OB
298,OB
335,OB
381,OB
323,OB
270,OB
345,OB
315,OB
293,OB
290,OB
327,OB
339,OB
322,OB
308,OB
325,OB
320,OB
254,OB
320,OB
289,OB
331,OB
332,OB
267,OB
169,OB
163,OB
178,OB
189,OB
170,OB
326,OB
190,OB
367,OB
276,OB
322,OB
300,HYB
313,OB
328,OB
303,HYB
349,OB
323,HYB
294,OB
251,HYB
303,OB
258,OB
314,OB
322,OB
330,OB
309,OB
294,OB
296,OB
334,HYB
318,HYB
328,HYB
330,OB
312,HYB
323,OB
336,OB
325,HYB
320,OB
306,OB
325,HYB
282,OB
313,OB
338,HYB
314,OB
301,OB
329,OB
283,OB
324,HYB
301,OB
283,OB
303,OB
267,HYB
312,OB
245,HYB
255,OB
261,OB
262,OB
377,OB
360,OB
338,OB
320,OB
345,OB
336,OB
353,OB
310,HYB
325,OB
338,HYB
336,HYB
335,OB
325,OB
330,OB
331,HYB
295,OB
328,OB
335,OB
326,HYB
300,OB
326,OB
324,OB
329,OB
347,HYB
318,HYB
313,HYB
399,OB
258,OB
334,OB
338,OB
324,OB
322,HYB
312,OB
272,OB
282,OB
158,OB
334,OB
165,OB
171,OB
345,HYB
322,HYB
329,HYB
321,HYB
319,OB
343,OB
332,OB
323,HYB
275,HYB
290,HYB
318,OB
277,HYB
340,OB
309,OB
273,OB
330,OB
213,HYB
265,HYB
295,OB
305,OB
299,OB
254,OB
290,OB
295,OB
310,OB
303,OB
286,OB
320,OB
270,OB
275,OB
207,HYB
257,OB
108,OB
116,OB
98,OB
64,OB
265,OB
267,OB
270,HYB
301,OB
283,OB
214,OB
272,OB
259,OB
274,HYB
317,OB
311,OB
383,OB
253,HYB
299,OB
259,OB
280,OB
271,HYB
242,HYB
324,HYB
303,HYB
330,OB
323,HYB
307,OB
319,OB
276,OB
275,OB
227,HYB
302,HYB
268,HYB
267,HYB
269,OB
327,OB
350,HYB
272,HYB
331,HYB
212,HYB
295,OB
342,OB
160,OB
161,OB
220,OB
164,HYB
292,HYB
269,HYB
362,HYB
303,HYB
272,HYB
280,OB
248,OB
218,OB
280,OB
266,HYB
290,OB
270,HYB
256,OB
309,OB
288,HYB
286,OB
296,OB
271,OB
285,OB
285,OB
420,OB
295,OB
304,HYB
271,HYB
292,OB
298,OB
281,OB
316,OB
347,OB
280,HYB
